IATA,Lat,Lon,Country,Continent
ESM,0.9785190220000001,-79.62660217,Ecuador,South America
ESN,38.80419922,-76.06900024,United States,North America
ESR,-26.31110001,-69.76519775,Chile,South America
ESS,51.40230179,6.937329769,Germany,Europe
ESU,31.39749908,-9.681670189,Morocco,Africa
ETB,43.42219925,-88.12789917,United States,North America
ETH,29.56130028,34.96009827,Israel,Asia
ETM,29.723694000000002,35.011416,Israel,Asia
ETR,-3.441986,-79.996957,Ecuador,South America
ETS,31.29969978,-85.89990234,United States,North America
ETZ,48.98210144,6.251319885,France,Europe
EUA,-21.37829971,-174.9579926,Tonga,Oceania
EUF,31.95129967,-85.12889862,United States,North America
EUG,44.12459946,-123.211998,United States,North America
EUM,54.07944489,9.941389083999999,Germany,Europe
EUN,27.151699,-13.2192,Western Sahara,
EUQ,10.76599979,121.9329987,Philippines,Asia
EUX,17.49650002,-62.97940063,"Bonaire, Sint Eustatius and Saba",North America
EVE,68.49130249,16.67810059,Norway,Europe
EVG,62.04779816,14.422900199999997,Sweden,Europe
EVN,40.14730072,44.39590073,Armenia,Asia
EVV,38.03699875,-87.53240204,United States,North America
EVW,41.27479935,-111.0350037,United States,North America
EVX,49.02870178,1.219859958,France,Europe
EWB,41.67610168,-70.95690155,United States,North America
EWK,38.05820084,-97.27449799,United States,North America
EWN,35.07300186,-77.04290009,United States,North America
EWR,40.69250107,-74.16870117,United States,North America
EXT,50.73440170000001,-3.413889885,United Kingdom,Europe
EYK,63.686901,66.698601,Russia,Europe
EYP,5.31911,-72.384,Colombia,South America
EYW,24.55610085,-81.75959778,United States,North America
EZE,-34.8222,-58.5358,Argentina,South America
EZS,38.60689926,39.29140091,Turkey,Asia
EZV,63.92100143,65.03050232,Russia,Europe
FAA,10.03549957,-10.76980019,Guinea,Africa
FAB,51.2757988,-0.776332974,United Kingdom,Europe
FAC,-16.68670082,-145.3289948,French Polynesia,Oceania
FAE,62.06359863,-7.2772197720000005,Faroe Islands,Europe
FAF,37.13249969,-76.60880279999999,United States,North America
FAH,32.36700058,62.18299866,Afghanistan,Asia
FAI,64.81510162,-147.85600280000003,United States,North America
FAJ,18.30890083,-65.66190338,Puerto Rico,North America
FAN,58.09949875,6.626049995,Norway,Europe
FAO,37.01440048,-7.965909957999999,Portugal,Europe
FAR,46.92070007,-96.81580353,United States,North America
FAT,36.77619934,-119.71800230000001,United States,North America
FAV,-16.05410004,-145.6569977,French Polynesia,Oceania
FAY,34.99119949,-78.88030243,United States,North America
FAZ,28.89179993,53.72330093,Iran,Asia
FBA,-2.53260994,-66.08319855,Brazil,South America
FBD,37.121101,70.518097,Afghanistan,Asia
FBE,-26.05920029,-53.06349945,Brazil,South America
FBG,35.13180161,-78.93669891,United States,North America
FBK,64.83750153,-147.6139984,United States,North America
FBM,-11.59130001,27.53089905,Congo,Africa
FBR,41.39189911,-110.40699769999999,United States,North America
FBU,59.89580154,10.617199900000001,Norway,Europe
FCA,48.3105011,-114.2559967,United States,North America
FCB,-28.82309914,27.90889931,South Africa,Africa
FCM,44.82720184,-93.45709991,United States,North America
FCN,53.7677002,8.658499718,Germany,Europe
FCO,41.800277799999996,12.238888900000001,Italy,Europe
FCS,38.67839813,-104.75700379999999,United States,North America
FDF,14.590999599999998,-61.00320053,Martinique,North America
FDH,47.67129898,9.511489868,Germany,Europe
FDO,-34.4532,-58.5896,Argentina,South America
FDU,-3.3113200660000004,17.38170052,Congo,Africa
FDY,41.01350021,-83.66870117,United States,North America
FEG,40.35879898,71.74500275,Uzbekistan,Asia
FEL,48.205555,11.266944,Germany,Europe
FEN,-3.8549300000000004,-32.423302,Brazil,South America
FET,41.44910049,-96.52020264,United States,North America
FEZ,33.9272995,-4.97796011,Morocco,Africa
FFA,36.01819992,-75.67130279999999,United States,North America
FFD,51.68220139,-1.790030003,United Kingdom,Europe
FFO,39.826099400000004,-84.0483017,United States,North America
FFT,38.18249893,-84.90470123,United States,North America
FFU,-43.18920135,-71.85109711,Chile,South America
FGI,-13.84869957,-171.7400055,Samoa,Oceania
FGU,-15.81989956,-140.88699340000002,French Polynesia,Oceania
FHU,31.58849907,-110.34400179999999,United States,North America
FIE,59.53580093,-1.6280599830000002,United Kingdom,Europe
FIG,10.35060024,-13.56919956,Guinea,Africa
FIH,-4.38575,15.4446,Congo,Africa
FIK,-25.59469986,134.5829926,Australia,Oceania
FIZ,-18.18190002,125.5589981,Australia,Oceania
FJR,25.11219978,56.32400131,United Arab Emirates,Asia
FKB,48.77939987,8.080499649,Germany,Europe
FKI,0.481638998,25.33799934,Congo,Africa
FKJ,36.14279938,136.223999,Japan,Asia
FKL,41.37789917,-79.86039734,United States,North America
FKQ,-2.9201900960000002,132.2669983,Indonesia,Asia
FKS,37.22740173,140.43099980000002,Japan,Asia
FLA,1.5891899999999999,-75.5644,Colombia,South America
FLB,-6.846389771,-43.07730103,Brazil,South America
FLD,43.77119827,-88.48840332,United States,North America
FLF,54.7733345,9.378889083999999,Germany,Europe
FLG,35.13850021,-111.6709976,United States,North America
FLL,26.072599,-80.152702,United States,North America
FLN,-27.67027855,-48.55250168,Brazil,South America
FLO,34.1853981,-79.72389984,United States,North America
FLP,36.29090118,-92.59030151,United States,North America
FLR,43.810001,11.2051,Italy,Europe
FLS,-40.09170151,147.9929962,Australia,Oceania
FLV,39.36830139,-94.91470337,United States,North America
FLW,39.45529938,-31.13139915,Portugal,Europe
FLZ,1.5559399999999999,98.888901,Indonesia,Asia
FMA,-26.2127,-58.2281,Argentina,South America
FME,39.08539963,-76.75939941,United States,North America
FMH,41.65840149,-70.52140045,United States,North America
FMI,-5.875559807,29.25,Congo,Africa
FMM,47.98880005,10.23950005,Germany,Europe
FMN,36.74119949,-108.2300034,United States,North America
FMO,52.13460159,7.6848301889999995,Germany,Europe
FMY,26.58659935,-81.86329651,United States,North America
FNA,8.616439999999999,-13.1955,Sierra Leone,Africa
FNB,53.6022,13.306,Germany,Europe
FNC,32.697899,-16.7745,Portugal,Europe
FNI,43.75740051,4.416349888,France,Europe
FNJ,39.224098,125.66999799999999,"Korea, Democratic People's Republic of",Asia
FNL,40.451803999999996,-105.01100000000001,United States,North America
FNR,58.25439835,-134.897995,United States,North America
FNT,42.965400700000004,-83.74359894,United States,North America
FNU,39.895308,8.642661,Italy,Europe
FOC,25.93510056,119.663002,China,Asia
FOD,42.55149841,-94.19259644,United States,North America
FOE,38.95090103,-95.66359711,United States,North America
FOG,41.432899,15.535,Italy,Europe
FOK,40.84370041,-72.63179779,United States,North America
FOM,5.636919975,10.75080013,Cameroon,Africa
FON,10.478,-84.634499,Costa Rica,North America
FOR,-3.7762799260000004,-38.53260039999999,Brazil,South America
FOS,-30.83810043,128.1150055,Australia,Oceania
FPO,26.55870056,-78.69560242,Bahamas,North America
FPR,27.49510002,-80.36830139,United States,North America
FRA,50.033333,8.570556,Germany,Europe
FRB,-33.363602,147.934998,Australia,Oceania
FRC,-20.592199,-47.3829,Brazil,South America
FRD,48.52199936,-123.02400209999999,United States,North America
FRE,-8.1075,159.576996,Solomon Islands,Oceania
FRG,40.72880173,-73.41339874,United States,North America
FRI,39.05530167,-96.76450348,United States,North America
FRJ,43.4175,6.7357,France,Europe
FRL,44.194801,12.0701,Italy,Europe
FRN,61.26639938,-149.6529999,United States,North America
FRO,61.58359909,5.024720192,Norway,Europe
FRS,16.91379929,-89.86640167,Guatemala,North America
FRU,43.06129837,74.47760009999999,Kyrgyzstan,Asia
FRW,-21.1595993,27.47450066,Botswana,Africa
FRY,43.99110031,-70.94789886,United States,North America
FRZ,51.1146,9.286,Germany,Europe
FSC,41.50059891,9.097780228,France,Europe
FSD,43.58200073,-96.74189758,United States,North America
FSI,34.64979935,-98.40219879,United States,North America
FSM,35.33660126,-94.36740112,United States,North America
FSP,46.76290131,-56.17309952,Saint Pierre and Miquelon,North America
FSS,57.6493988,-3.560640097,United Kingdom,Europe
FST,30.91570091,-102.9160004,United States,North America
FTA,-19.51639938,170.2319946,Vanuatu,Oceania
FTE,-50.2803,-72.053101,Argentina,South America
FTI,-14.2172,-169.425003,American Samoa,Oceania
FTK,37.90710068,-85.9720993,United States,North America
FTU,-25.03809929,46.95610046,Madagascar,Africa
FTW,32.819801,-97.36239599999999,United States,North America
FTX,-0.5313500170000001,15.95009995,Congo,Africa
FTY,33.77909851,-84.52140045,United States,North America
FUE,28.45269966,-13.86380005,Spain,Europe
FUG,32.882157,115.73436399999999,China,Asia
FUJ,32.66630173,128.8329926,Japan,Asia
FUK,33.58589935,130.451004,Japan,Asia
FUL,33.87200165,-117.9800034,United States,North America
FUN,-8.525,179.195999,Tuvalu,Oceania
FUO,23.08329964,113.0699997,China,Asia
FUT,-14.31140041,-178.06599430000003,Wallis and Futuna,Oceania
FWA,40.97850037,-85.19509888,United States,North America
FWH,32.76919937,-97.4414978,United States,North America
FXE,26.19729996,-80.17070007,United States,North America
FXO,-14.815,36.529999,Mozambique,Africa
FYJ,48.199494,134.366447,China,Asia
FYN,46.804169,89.512006,China,Asia
FYT,17.91710091,19.11109924,Chad,Africa
FYU,66.57150269,-145.25,United States,North America
FYV,36.00510025,-94.17009735,United States,North America
FZO,51.51940155,-2.590830088,United Kingdom,Europe
GAD,33.972599,-86.088996,United States,North America
GAE,33.87689972,10.10330009,Tunisia,Africa
GAF,34.42200089,8.822500229,Tunisia,Africa
GAH,-25.61440086,151.6190033,Australia,Oceania
GAI,39.16830063,-77.16600037,United States,North America
